species,habitat,light,canopy,lma_gcm-2,13C,15N,percN_mgg-1,Nmass_gm2,
Adiantum_latifolium,terrestrial,low,Low,31,-34.9,2.6,33.6,1.04,
Adiantum_obliqum,terrestrial,low,Low,,-33.9,3,28.4,,
Alsophila cuspidata ,terrestrial,Medium,High,28,-31,2.1,32.6,0.91,
Anetium_citrifolium,epiphyte,low,Low,33,-32.9,0.9,29.3,0.97,
Asplenium_auritum,epiphyte,high,High,55,-32.1,0.7,15.7,0.86,
Asplenium_serra,epiphyte,high,High,55,-29.2,4,25.8,1.42,
Asplenium_serratum,epiphyte,low,Low,24,-31,2.4,36.1,0.87,
Blechnum,terrestrial,low,Low,26,-33.6,3.2,20.3,0.52,
Bolbitis_nicotianifolia,hemi-epiphyte,low,Low,37,-34.4,2.6,35.8,1.32,
Campyloneurum_brevifolium,epiphyte,Medium,High,87,-30.2,1.4,18.4,1.6,
Colchlidium_serrulatum,epiphyte,high,High,112,-35.3,2.4,15.4,1.72,
Cyathea multiflora J. Sm.,terrestrial,Medium,High,37,-33,1.9,24.7,0.91,
Cyclopeltis_semicordata,terrestrial,low,Low,32,-34.1,1.3,31.8,1.02,
Danaea_wendlandii,terrestrial,low,Low,32,-34.8,2.4,25.1,0.8,
Dicranoglossum_panamense,epiphyte,low,Low,52,-31.4,-1,18.2,0.95,
Didymochlaena_truncatula,terrestrial,low,Low,32,-35.1,2.4,28.8,0.92,
Diplazium_macrophyllum,terrestrial,Medium,Low,34,,,,,
Diplazium_striatastrum,terrestrial,Medium,Low,32,-33.9,2.2,37.6,1.2,
Elaphoglossum_herminieri,epiphyte,high,High,202,-30.4,0.9,9,1.82,
Elaphoglossum_latifolium,epiphyte,high,High,108,-39.9,1.6,13.5,1.46,
Elaphoglossum_peltatum,epiphyte,low,Low,73,-33.4,-0.7,23,1.68,
Hemiontis_palmata,terrestrial,high,High,34,-33.9,2.5,27.8,0.94,
Hymenophyllum ,epiphyte,low,Low,,-28.4,0.1,12.9,,
Lomariopsis_japurensis,hemi-epiphyte,low,Low,34,-34.2,1,33.3,1.13,
Lomariopsis_vestita,hemi-epiphyte,low,Low,38,-35,2.3,34.6,1.31,
Lonchitis_hirsuta,terrestrial,low,Low,18,-34.7,0.4,34.6,0.62,
Microgramma_lycopodioides,epiphyte,high,High,81,-28.6,-0.1,13.4,1.08,
Microgramma_reptans,epiphyte,high,High,51,-29,2,12.3,0.63,
Nephrolepis_rivularis,epiphyte,high,High,43,-30.1,0.4,12.5,0.54,
Oleandra_articulata,epiphyte,high,High,42,-30.2,1.4,15.6,0.65,
Olfersia_cervina,hemi-epiphyte,low,Low,48,-34.7,3.2,25.4,1.22,
Ophioglossum_reticulatum,terrestrial,high,High,26,-31.9,,59.8,1.55,
Phlebodium_pseudoaureum,epiphyte,Medium,High,22,-30.6,2.5,28.3,0.62,
Pleopeltis,epiphyte,Medium,High,84,-31.1,-0.6,12.7,1.07,
Polybotrya_caudata,hemi-epiphyte,low,Low,41,-34.6,3.3,22.5,0.92,
Polypodium_triseriale,epiphyte,high,High,51,-29.4,0.8,20.1,1.03,
Polytaenium_ensiforme,epiphyte,low,Low,54,-32.5,2.1,23,1.24,
Saccoloma_inaequale,terrestrial,low,Low,,-35.2,1.3,36.2,,
Salpichlaena_volubilis,hemi-epiphyte,low,Low,37,-34,2.9,25.1,0.93,
Tectaria_dracontifolia,terrestrial,low,Low,31,-34.1,2,33,1.02,
Thelypteris_lingulata,terrestrial,low,Low,29,-34.6,2.2,27.1,0.79,
Thelypteris_poiteana,terrestrial,Medium,Low,36,-34.2,1.9,28.5,1.03,
Thelypteris_spp_kurtii,terrestrial,low,Low,45,-32.2,1.7,51.5,2.32,
Trichomanes_collariatum,epiphyte,low,Low,29,-32.5,0.7,21.5,0.62,
Trichomanes_diversifrons,terrestrial,Medium,Low,35,-34.1,0.3,18.1,0.63,
Trichomanes_godmanii,epiphyte,low,Low,31,-31.8,3.2,2.1,0.65,
Vittaria_lineata,epiphyte,high,High,142,-30.2,1.3,15.3,2.17,
Vittaria_stipitata_Kunze,epiphyte,high,High,117,-30.9,0.2,7.1,0.83,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
