species,ind,Photo,Cond,Ci,Trmmol,PARi,,,,,,,,
Dip_stri,1,3.982873723,0.157766276,347.8581987,1.135942008,500.5602417,,,,,,,,
Dip_stri,2,3.231536763,0.193314666,363.080207,1.148806111,500.5267944,,,,,,,,
Dip_stri,3,3.159303984,0.204955663,365.6075201,1.205917688,500.874054,,,,,,,,
Dip_stri,4,3.675505707,0.268564413,366.0257019,1.581468659,501.0445862,,,,,,,,
Dip_stri,5,4.605114777,0.166663079,343.917963,1.026985778,501.1765137,,,,,,,,
Cyc_semi,1,2.492453156,0.035789791,279.462747,0.302152987,499.5748596,,,,,,,,
Cyc_semi,2,2.413286564,0.076266077,340.5348711,0.556232379,500.39328,,,,,,,,
Cyc_semi,3,3.258374946,0.077835512,322.1407988,0.581952909,500.0747681,,,,,,,,
Cyc_semi,4,3.398617379,0.093812668,331.1868998,0.684351545,501.1015625,,,,,,,,
Cyc_semi,5,2.318548711,0.053644535,322.3747183,0.377955639,500.7668457,,,,,,,,
Lom_jap,1,3.642565673,0.081053557,317.7236303,0.619791628,499.5309753,,,,,,,,
Lom_jap,2,4.132892043,0.109321415,327.6578854,0.724909221,500.5127869,,,,,,,,
Lom_jap,3,3.165666829,0.074096008,322.2122456,0.512800751,501.3388977,,,,,,,,
Lom_jap,4,3.19138278,0.085452565,330.7518306,0.588838338,501.2831116,,,,,,,,
Lom_jap,5,3.292600132,0.080416925,324.4919533,0.543535814,501.0028076,,,,,,,,
Bul_port,2,3.072953206,0.054334829,298.2617729,0.44093904,499.7675781,,,,,,,,
Bul_port,3,4.160820214,0.0820203,306.0046854,0.710968145,500.9962769,,,,,,,,
Bul_port,4,4.39378554,0.070481123,287.9993813,0.670443106,499.7871399,,,,,,,,
Bul_port,5,4.703994333,0.103393871,313.185847,0.917076883,500.9482727,,,,,,,,
Dip_stri,1,4.137265295,0.155228441,345.0534104,1.240444036,749.003418,,,,,,,,
Dip_stri,2,3.382140513,0.201106543,362.4629775,1.29823469,749.1226196,,,,,,,,
Dip_stri,3,3.260057108,0.226450251,366.9247975,1.401752557,749.5376587,,,,,,,,
Dip_stri,4,3.728391379,0.267992008,365.50187,1.771106929,749.4285278,,,,,,,,
Dip_stri,5,4.535173228,0.219919348,355.8442085,1.173368207,750.1314087,,,,,,,,
Cyc_semi,1,2.485365077,0.038727502,287.5906464,0.37009049,749.557251,,,,,,,,
Cyc_semi,2,2.490128917,0.081560089,341.8487112,0.636915827,749.7199707,,,,,,,,
Cyc_semi,3,3.214346026,0.081656878,325.5967988,0.684488933,749.4904785,,,,,,,,
Cyc_semi,4,3.269585588,0.090713408,331.1448099,0.773302139,750.3113403,,,,,,,,
Cyc_semi,5,2.461833761,0.063999924,329.2945714,0.493634358,750.729187,,,,,,,,
Lom_jap,1,3.641447164,0.080829332,316.8430972,0.713529108,750.0070801,,,,,,,,
Lom_jap,2,4.167164158,0.123424244,333.9207771,0.834796483,750.3067017,,,,,,,,
Lom_jap,3,3.047384258,0.083689391,332.4358473,0.596883046,749.3356323,,,,,,,,
Lom_jap,4,3.228758538,0.098294853,337.6441445,0.694054561,749.1279297,,,,,,,,
Lom_jap,5,3.312506586,0.089184623,330.2747261,0.646533032,749.1045532,,,,,,,,
Bul_port,2,3.205493574,0.062675141,307.1296213,0.501381535,749.0674438,,,,,,,,
Bul_port,3,4.206492448,0.089295821,311.9185867,0.773071958,750.012085,,,,,,,,
Bul_port,4,4.24956832,0.067051434,285.3306217,0.739756811,749.8153076,,,,,,,,
Bul_port,5,4.809851141,0.102593345,310.6911667,0.943981871,750.706665,,,,,,,,
