family,species,individual,photo,cond,par
Selaginella,Sel_eur,1,7.556166229,0.166648405,500
Selaginella,Sel_eur,2,5.215798469,0.095986917,500
Selaginella,Sel_eur,3,6.257972122,0.127249679,500
Selaginella,Sel_eur,4,5.367576705,0.115720893,500
Selaginella,Sel_eur,5,4.76238968,0.100831513,500
Selaginella,Sel_anc,1,2.930976218,0.066738831,300
Selaginella,Sel_anc,2,3.072432618,0.074619121,300
Selaginella,Sel_anc,3,3.184913211,0.071118463,300
Selaginella,Sel_anc,4,3.360933491,0.083447405,300
Selaginella,Sel_anc,5,2.767934967,0.067999935,300
Selaginella,Sel_ate,1,1.715080043,0.066951283,300
Selaginella,Sel_ate,2,2.09630726,0.087514087,300
Selaginella,Sel_ate,3,2.392409149,0.069294736,300
Selaginella,Sel_ate,4,0.954378961,0.052942026,300
Selaginella,Sel_ate,5,1.554945333,0.033667578,300
Selaginella,Sel_umb,1,2.503279855,0.058013904,750
Selaginella,Sel_umb,2,3.556340716,0.103830132,750
Selaginella,Sel_umb,3,4.231690589,0.112548379,750
Selaginella,Sel_umb,4,3.697673002,0.105609702,750
Selaginella,Sel_umb,5,3.650302243,0.122317778,750
Selaginella,Sel_oax,1,2.760467337,0.080758638,500
Selaginella,Sel_oax,2,1.982093016,0.051153806,500
Selaginella,Sel_oax,3,2.592996141,0.066268983,500
Selaginella,Sel_oax,4,2.263934618,0.068981555,500
Selaginella,Sel_oax,5,2.418301324,0.048696543,500
Selaginella,Sel_swim,1,2.437603843,0.057461652,500
Selaginella,Sel_swim,2,1.016254651,0.027193418,500
Selaginella,Sel_swim,3,2.037646532,0.044804392,500
Selaginella,Sel_swim,4,2.147097044,0.050166365,500
Selaginella,Sel_swim,5,2.665411414,0.073512822,500
Selaginella,Sel_art,1,3.15803602,0.063347249,500
Selaginella,Sel_art,2,4.254765088,0.093934899,500
Selaginella,Sel_art,3,2.940141698,0.092842518,500
Selaginella,Sel_art,4,3.094611407,0.083563865,500
Selaginella,Sel_art,5,3.455784543,0.077870469,500
Ferns,Bul_port,1,4.492338208,0.113424644,500
Ferns,Bul_port,2,4.516126241,0.113225444,500
Ferns,Dip_stri,1,4.171824434,0.195505989,500
Ferns,Dip_stri,2,3.630631417,0.177545843,500
Ferns,Dip_stri,3,5.288246176,0.195913729,500
Ferns,Dip_stri,4,3.423427043,0.238805595,500
Ferns,Dip_stri,5,4.272844002,0.176558567,500
Ferns,Cyc_semi,1,2.379871677,0.089491626,500
Ferns,Cyc_semi,2,1.07005754,0.023581044,500
Ferns,Cyc_semi,3,2.422448485,0.066635045,500
Ferns,Cyc_semi,4,2.797293032,0.084782646,500
Ferns,Thy_cur,1,3.698462145,0.206438848,500
Ferns,Thy_cur,2,3.478979561,0.156941196,500
Ferns,Thy_cur,3,4.029543794,0.193651788,500
Ferns,Thy_cur,4,4.150121228,0.161092165,500
