family,species,individual,light,light_umol,photo,cond
Selaginella,Sel_eur,1,High,500,7.556166229,0.166648405
Selaginella,Sel_eur,2,High,500,5.215798469,0.095986917
Selaginella,Sel_eur,3,High,500,6.257972122,0.127249679
Selaginella,Sel_eur,4,High,500,5.367576705,0.115720893
Selaginella,Sel_eur,5,High,500,4.76238968,0.100831513
Selaginella,Sel_anc,1,Low,50,2.930976218,0.066738831
Selaginella,Sel_anc,2,Low,50,3.072432618,0.074619121
Selaginella,Sel_anc,3,Low,50,3.184913211,0.071118463
Selaginella,Sel_anc,4,Low,50,3.360933491,0.083447405
Selaginella,Sel_anc,5,Low,50,2.767934967,0.067999935
Selaginella,Sel_ate,1,Low,50,1.715080043,0.066951283
Selaginella,Sel_ate,2,Low,50,2.09630726,0.087514087
Selaginella,Sel_ate,3,Low,50,2.392409149,0.069294736
Selaginella,Sel_ate,4,Low,50,0.954378961,0.052942026
Selaginella,Sel_ate,5,Low,50,1.554945333,0.033667578
Selaginella,Sel_umb,1,Low,50,2.503279855,0.058013904
Selaginella,Sel_umb,2,Low,50,3.556340716,0.103830132
Selaginella,Sel_umb,3,Low,50,4.231690589,0.112548379
Selaginella,Sel_umb,4,Low,50,3.697673002,0.105609702
Selaginella,Sel_umb,5,Low,50,3.650302243,0.122317778
Selaginella,Sel_oax,1,Low,50,2.760467337,0.080758638
Selaginella,Sel_oax,2,Low,50,1.982093016,0.051153806
Selaginella,Sel_oax,3,Low,50,2.592996141,0.066268983
Selaginella,Sel_oax,4,Low,50,2.263934618,0.068981555
Selaginella,Sel_oax,5,Low,50,2.418301324,0.048696543
Selaginella,Sel_swim,1,High,500,2.437603843,0.057461652
Selaginella,Sel_swim,2,High,500,1.016254651,0.027193418
Selaginella,Sel_swim,3,High,500,2.037646532,0.044804392
Selaginella,Sel_swim,4,High,500,2.147097044,0.050166365
Selaginella,Sel_swim,5,High,500,2.665411414,0.073512822
Selaginella,Sel_art,1,Low,50,3.15803602,0.063347249
Selaginella,Sel_art,2,Low,50,4.254765088,0.093934899
Selaginella,Sel_art,3,Low,50,2.940141698,0.092842518
Selaginella,Sel_art,4,Low,50,3.094611407,0.083563865
Selaginella,Sel_art,5,Low,50,3.455784543,0.077870469
Ferns,Bul_port,11,Low,50,4.492338208,0.113424644
Ferns,Bul_port,12,Low,50,4.516126241,0.113225444
Ferns,Dip_stri,11,Low,50,4.171824434,0.195505989
Ferns,Dip_stri,12,Low,50,3.630631417,0.177545843
Ferns,Dip_stri,13,Low,50,5.288246176,0.195913729
Ferns,Dip_stri,14,Low,50,3.423427043,0.238805595
Ferns,Dip_stri,15,Low,50,4.272844002,0.176558567
Ferns,Cyc_semi,11,Low,50,2.379871677,0.089491626
Ferns,Cyc_semi,12,Low,50,1.07005754,0.023581044
Ferns,Cyc_semi,13,Low,50,2.422448485,0.066635045
Ferns,Cyc_semi,14,Low,50,2.797293032,0.084782646
Ferns,Thy_cur,11,Low,50,3.698462145,0.206438848
Ferns,Thy_cur,12,Low,50,3.478979561,0.156941196
Ferns,Thy_cur,13,Low,50,4.029543794,0.193651788
Ferns,Thy_cur,14,Low,50,4.150121228,0.161092165
