family,species,ind,rep,length_um,width_um
Selaginella,Sel_swim,1,1,20.746,14.704
Selaginella,Sel_swim,1,2,25.808,15.78
Selaginella,Sel_swim,1,3,24.425,13.825
Selaginella,Sel_swim,1,4,25.997,14.977
Selaginella,Sel_swim,1,5,21.012,15.183
Selaginella,Sel_swim,2,1,23.747,15.206
Selaginella,Sel_swim,2,2,23.833,16.708
Selaginella,Sel_swim,2,3,24.18,14.878
Selaginella,Sel_swim,2,4,21.872,14.775
Selaginella,Sel_swim,2,5,22.394,14.875
Selaginella,Sel_swim,3,1,23.995,16.728
Selaginella,Sel_swim,3,2,25.248,16.027
Selaginella,Sel_swim,3,3,23.679,16.101
Selaginella,Sel_swim,3,4,27.63,16.431
Selaginella,Sel_swim,3,5,24.568,14.792
Selaginella,Sel_swim,4,1,20.166,13.883
Selaginella,Sel_swim,4,2,23.98,14.58
Selaginella,Sel_swim,4,3,24.134,13.846
Selaginella,Sel_swim,4,4,22.935,14.419
Selaginella,Sel_swim,4,5,25.589,15.826
Selaginella,Sel_swim,5,1,22.385,14.434
Selaginella,Sel_swim,5,2,24.465,15.146
Selaginella,Sel_swim,5,3,21.819,17.265
Selaginella,Sel_swim,5,4,19.122,12.373
Selaginella,Sel_swim,5,5,24.439,13.061
Selaginella,Sel_anc,1,1,19.661,11.2
Selaginella,Sel_anc,1,2,20.515,11.299
Selaginella,Sel_anc,1,3,19.171,11.649
Selaginella,Sel_anc,1,4,19.969,10.779
Selaginella,Sel_anc,1,5,18.612,12.26
Selaginella,Sel_anc,2,1,15.598,10.53
Selaginella,Sel_anc,2,2,17.489,11.32
Selaginella,Sel_anc,2,3,15.955,10.528
Selaginella,Sel_anc,2,4,19.606,12.457
Selaginella,Sel_anc,2,5,17.76,11.461
Selaginella,Sel_anc,3,1,18.591,11.403
Selaginella,Sel_anc,3,2,19.027,11.043
Selaginella,Sel_anc,3,3,17.898,11.328
Selaginella,Sel_anc,3,4,17.807,11.245
Selaginella,Sel_anc,3,5,17.72,12.054
Selaginella,Sel_anc,4,1,21.165,11.676
Selaginella,Sel_anc,4,2,18.83,11.51
Selaginella,Sel_anc,4,3,19.289,11.526
Selaginella,Sel_anc,4,4,19.232,12.569
Selaginella,Sel_anc,4,5,19.657,12.501
Selaginella,Sel_eur,1,1,26.794,19.229
Selaginella,Sel_eur,1,2,24.035,16.945
Selaginella,Sel_eur,1,3,28.122,17.406
Selaginella,Sel_eur,1,4,24.556,17.734
Selaginella,Sel_eur,1,5,25.984,16.912
Selaginella,Sel_eur,2,1,24.112,19.153
Selaginella,Sel_eur,2,2,23.337,18.786
Selaginella,Sel_eur,2,3,27.506,18.224
Selaginella,Sel_eur,2,4,23.076,18.446
Selaginella,Sel_eur,2,5,27.123,17.203
Selaginella,Sel_eur,3,1,24.253,17.397
Selaginella,Sel_eur,3,2,23.818,16.891
Selaginella,Sel_eur,3,3,22.079,19.491
Selaginella,Sel_eur,3,4,23.13,16.689
Selaginella,Sel_eur,3,5,24.943,18.846
Selaginella,Sel_eur,4,1,25.422,17.878
Selaginella,Sel_eur,4,2,25.363,16.438
Selaginella,Sel_eur,4,3,25.339,17.479
Selaginella,Sel_eur,4,4,25.217,16.938
Selaginella,Sel_eur,4,5,25.291,17.323
Selaginella,Sel_eur,5,1,22.997,14.91
Selaginella,Sel_eur,5,2,24.311,15.095
Selaginella,Sel_eur,5,3,24.149,15.881
Selaginella,Sel_eur,5,4,25.49,14.705
Selaginella,Sel_eur,5,5,21.797,16.457
Selaginella,Sel_ate,1,1,26.414,17.947
Selaginella,Sel_ate,1,2,24.404,14.723
Selaginella,Sel_ate,1,3,25.758,16.207
Selaginella,Sel_ate,1,4,25.225,17.646
Selaginella,Sel_ate,1,5,26.575,16.756
Selaginella,Sel_ate,2,1,28.298,15.643
Selaginella,Sel_ate,2,2,24.686,15.52
Selaginella,Sel_ate,2,3,26.05,15.683
Selaginella,Sel_ate,2,4,26.047,15.102
Selaginella,Sel_ate,2,5,25.41,15.35
Selaginella,Sel_ate,3,1,22.285,15.178
Selaginella,Sel_ate,3,2,27.807,13.224
Selaginella,Sel_ate,3,3,26.956,13.814
Selaginella,Sel_ate,3,4,27.54,12.324
Selaginella,Sel_ate,3,5,28.313,14.875
Selaginella,Sel_ate,4,1,27.047,14.693
Selaginella,Sel_ate,4,2,23.7,15.657
Selaginella,Sel_ate,4,3,26.237,15.1
Selaginella,Sel_ate,4,4,27.137,16.452
Selaginella,Sel_ate,4,5,28.993,15.534
Selaginella,Sel_ate,5,1,27.032,15.603
Selaginella,Sel_ate,5,2,26.903,13.791
Selaginella,Sel_ate,5,3,25.019,16.331
Selaginella,Sel_ate,5,4,25.305,14.752
Selaginella,Sel_ate,5,5,22.074,14.06
Selaginella,Sel_art,1,1,25.224,18.684
Selaginella,Sel_art,1,2,26.102,16.988
Selaginella,Sel_art,1,3,26.906,17.626
Selaginella,Sel_art,1,4,26.372,15.109
Selaginella,Sel_art,1,5,24.728,17.009
Selaginella,Sel_art,2,1,27.198,18.018
Selaginella,Sel_art,2,2,29.424,18.446
Selaginella,Sel_art,2,3,25.152,16.974
Selaginella,Sel_art,2,4,26.502,16.663
Selaginella,Sel_art,2,5,27.101,16.283
Selaginella,Sel_art,3,1,25.44,18.318
Selaginella,Sel_art,3,2,28.741,17.67
Selaginella,Sel_art,3,3,25.641,17.234
Selaginella,Sel_art,3,4,24.512,16.423
Selaginella,Sel_art,3,5,25.344,17.321
Selaginella,Sel_art,4,1,24.591,17.451
Selaginella,Sel_art,4,2,23.913,17.016
Selaginella,Sel_art,4,3,26.006,16.92
Selaginella,Sel_art,4,4,25.826,17.402
Selaginella,Sel_art,4,5,26.304,18.285
Selaginella,Sel_oax,1,1,24.298,18.091
Selaginella,Sel_oax,1,2,26.311,16.167
Selaginella,Sel_oax,1,3,24.344,16.998
Selaginella,Sel_oax,1,4,26.626,18.528
Selaginella,Sel_oax,1,5,26.754,16.167
Selaginella,Sel_oax,2,1,26.121,17.128
Selaginella,Sel_oax,2,2,28.467,18.722
Selaginella,Sel_oax,2,3,27.592,17.241
Selaginella,Sel_oax,2,4,27.802,15.987
Selaginella,Sel_oax,2,5,28.649,17.2
Selaginella,Sel_oax,3,1,23.573,16.694
Selaginella,Sel_oax,3,2,27.666,16.507
Selaginella,Sel_oax,3,3,23.703,16.527
Selaginella,Sel_oax,3,4,24.736,16.247
Selaginella,Sel_oax,3,5,25.625,18.803
Selaginella,Sel_oax,4,1,24.272,16.104
Selaginella,Sel_oax,4,2,24.316,16.105
Selaginella,Sel_oax,4,3,25.78,15.883
Selaginella,Sel_oax,4,4,22.617,17.3
Selaginella,Sel_oax,4,5,24.339,15.485
Selaginella,Sel_umb,1,1,17.007,12.338
Selaginella,Sel_umb,1,2,17.462,11.357
Selaginella,Sel_umb,1,3,17.197,11.4
Selaginella,Sel_umb,1,4,17.181,11.388
Selaginella,Sel_umb,1,5,16.832,10.426
Selaginella,Sel_umb,2,1,18.016,11.371
Selaginella,Sel_umb,2,2,17.237,12.694
Selaginella,Sel_umb,2,3,17.618,12.291
Selaginella,Sel_umb,2,4,17.795,10.97
Selaginella,Sel_umb,2,5,16.926,11.528
Selaginella,Sel_umb,3,1,17.464,11.857
Selaginella,Sel_umb,3,2,16.947,12.376
Selaginella,Sel_umb,3,3,15.998,12.489
Selaginella,Sel_umb,3,4,17.385,11.458
Selaginella,Sel_umb,3,5,16.389,12.594
Selaginella,Sel_umb,4,1,15.391,11.385
Selaginella,Sel_umb,4,2,17.349,12.359
Selaginella,Sel_umb,4,3,16.785,11.483
Selaginella,Sel_umb,4,4,16.894,12.385
Selaginella,Sel_umb,4,5,17.286,11.593
Selaginella,Sel_umb,5,1,16.396,12.584
Selaginella,Sel_umb,5,2,17.698,11.395
Selaginella,Sel_umb,5,3,16.493,10.768
Selaginella,Sel_umb,5,4,15.695,11.569
Selaginella,Sel_umb,5,5,17.489,11.128
Ferns,Thy_cur,1,1,28.812,17.023
Ferns,Thy_cur,2,2,34.736,19.087
Ferns,Thy_cur,3,3,39.809,19.163
Ferns,Thy_cur,4,4,34.689,18.287
Ferns,Thy_cur,5,5,39.275,15.831
Ferns,Thy_cur,6,6,42.109,19.84
Ferns,Thy_cur,7,7,42.775,17.558
Ferns,Thy_cur,8,8,42.912,18.314
Ferns,Thy_cur,9,9,43.274,21.335
Ferns,Thy_cur,10,10,41.053,21.419
Ferns,Dip_stri,1,1,38.573,20.683
Ferns,Dip_stri,2,2,36.78,21.312
Ferns,Dip_stri,3,3,41.068,22.104
Ferns,Dip_stri,4,4,35.558,22.414
Ferns,Dip_stri,5,5,37.173,22.316
Ferns,Dip_stri,6,6,39.316,21.095
Ferns,Dip_stri,7,7,39.888,21.071
Ferns,Dip_stri,8,8,40.694,19.933
Ferns,Dip_stri,9,9,37.578,22.153
Ferns,Dip_stri,10,10,39.072,20.197
Ferns,Lom_jap,1,1,53.499,28.393
Ferns,Lom_jap,2,2,60.343,30.834
Ferns,Lom_jap,3,3,56.911,27.91
Ferns,Lom_jap,4,4,55.448,29.131
Ferns,Lom_jap,5,5,53.236,27.308
Ferns,Lom_jap,6,6,56.622,29.455
Ferns,Lom_jap,7,7,54.645,28.563
Ferns,Lom_jap,8,8,54.501,27.062
Ferns,Lom_jap,9,9,56.07,27.89
Ferns,Lom_jap,10,10,53.188,28.693
Ferns,Cyc_semi,1,1,47.868,25.028
Ferns,Cyc_semi,2,2,45.304,26.223
Ferns,Cyc_semi,3,3,47.526,26.298
Ferns,Cyc_semi,4,4,47.335,25.153
Ferns,Cyc_semi,5,5,46.832,25.146
Ferns,Cyc_semi,6,6,48.864,25.601
Ferns,Cyc_semi,7,7,46.687,26.945
Ferns,Cyc_semi,8,8,45.157,26.711
Ferns,Cyc_semi,9,9,45.038,23.654
Ferns,Cyc_semi,10,10,46.853,26.059
Ferns,Bul_port,1,1,42.26,31.015
Ferns,Bul_port,2,2,46.701,31.089
Ferns,Bul_port,3,3,42.768,32.333
Ferns,Bul_port,4,4,45.607,32.195
Ferns,Bul_port,5,5,44.326,29.936
Ferns,Bul_port,6,6,47.022,30.337
Ferns,Bul_port,7,7,44.426,30.846
Ferns,Bul_port,8,8,46.291,30.463
Ferns,Bul_port,9,9,46.835,29.871
Ferns,Bul_port,10,10,43.958,31.274
